state,city,store_url
Alabama,Hueytown,https://www.cvs.com/store-locator/hueytown-al-pharmacies/3022-allison-bonnett-dr-hueytown-al-35023/storeid=4828
Alabama,Lanett,https://www.cvs.com/store-locator/lanett-al-pharmacies/10-veterans-memorial-parkway-lanett-al-36863/storeid=4975
Alabama,Mccalla,https://www.cvs.com/store-locator/mccalla-al-pharmacies/4736-eastern-valley-rd-mccalla-al-35111/storeid=7215
Alabama,Meridianville,https://www.cvs.com/store-locator/meridianville-al-pharmacies/12275-hwy-231-431n-meridianville-al-35759/storeid=5316
Alabama,Millbrook,https://www.cvs.com/store-locator/millbrook-al-pharmacies/3680-hwy-14-millbrook-al-36054/storeid=4909
Alabama,Mobile,https://www.cvs.com/store-locator/mobile-al-pharmacies/1401-hillcrest-rd-mobile-al-36695/storeid=7671
Alabama,Mobile,https://www.cvs.com/store-locator/mobile-al-pharmacies/2280-dr-martin-luther-king-jr-ave-mobile-al-36617/storeid=4877
Alabama,Mobile,https://www.cvs.com/store-locator/mobile-al-pharmacies/2550-dauphin-st-mobile-al-36606/storeid=4900
Alabama,Mobile,https://www.cvs.com/store-locator/mobile-al-pharmacies/3100-dauphin-island-pkwy-mobile-al-36605/storeid=4903
Alabama,Mobile,https://www.cvs.com/store-locator/mobile-al-pharmacies/3150-bel-air-mall-mobile-al-36606/storeid=16248
Alabama,Mobile,https://www.cvs.com/store-locator/mobile-al-pharmacies/4453-old-shell-rd-mobile-al-36608/storeid=4888
Alabama,Mobile,https://www.cvs.com/store-locator/mobile-al-pharmacies/4881-schillinger-rd-s-mobile-al-36619/storeid=4818
Alabama,Mobile,https://www.cvs.com/store-locator/mobile-al-pharmacies/790-schillinger-rd-s-mobile-al-36695/storeid=16715
Alabama,Montevallo,https://www.cvs.com/store-locator/montevallo-al-pharmacies/700-main-st-montevallo-al-35115/storeid=7112
Alabama,Moody,https://www.cvs.com/store-locator/moody-al-pharmacies/2828-moody-parkway-moody-al-35004/storeid=4967
Alabama,Montgomery,https://www.cvs.com/store-locator/montgomery-al-pharmacies/2576-berryhill-rd-montgomery-al-36117/storeid=16946
Alabama,Montgomery,https://www.cvs.com/store-locator/montgomery-al-pharmacies/3190-zelda-rd-montgomery-al-36106/storeid=4856
Alabama,Montgomery,https://www.cvs.com/store-locator/montgomery-al-pharmacies/3465-atlanta-hwy-montgomery-al-36109/storeid=4894
Alabama,Montgomery,https://www.cvs.com/store-locator/montgomery-al-pharmacies/4240-narrow-lane-road-montgomery-al-36111/storeid=4906
Alabama,Montgomery,https://www.cvs.com/store-locator/montgomery-al-pharmacies/4790-mobile-hwy-montgomery-al-36108/storeid=4947
Alabama,Montgomery,https://www.cvs.com/store-locator/montgomery-al-pharmacies/55-ray-thorington-rd-montgomery-al-36117/storeid=7063
Alabama,Montgomery,https://www.cvs.com/store-locator/montgomery-al-pharmacies/615-w-fairview-ave-montgomery-al-36105/storeid=4895
Alabama,Montgomery,https://www.cvs.com/store-locator/montgomery-al-pharmacies/6891-vaughn-road-montgomery-al-36116/storeid=3095
Alabama,Moulton,https://www.cvs.com/store-locator/moulton-al-pharmacies/11648-al-hwy-157-moulton-al-35650/storeid=4931
Alabama,Mountain-Brook,https://www.cvs.com/store-locator/mountain-brook-al-pharmacies/93-euclid-avenue-mountain-brook-al-35213/storeid=2505
Alabama,Muscle-Shoals,https://www.cvs.com/store-locator/muscle-shoals-al-pharmacies/1715-woodward-ave-muscle-shoals-al-35661/storeid=4901
Alabama,Oneonta,https://www.cvs.com/store-locator/oneonta-al-pharmacies/602-1st-avenue-east-oneonta-al-35121/storeid=4854
Alabama,Northport,https://www.cvs.com/store-locator/northport-al-pharmacies/1910-mcfarland-boulevard-northport-al-35476/storeid=4835
Alabama,Northport,https://www.cvs.com/store-locator/northport-al-pharmacies/4280-mitt-lary-rd-northport-al-35475/storeid=4372
Alabama,Orange-Beach,https://www.cvs.com/store-locator/orange-beach-al-pharmacies/25761-perdido-beach-blvd-orange-beach-al-36561/storeid=2899
Alabama,Opelika,https://www.cvs.com/store-locator/opelika-al-pharmacies/1997-pepperell-pkwy-opelika-al-36801/storeid=4949
Alabama,Opelika,https://www.cvs.com/store-locator/opelika-al-pharmacies/2640-enterprise-dr-opelika-al-36801/storeid=16830
Alabama,Ozark,https://www.cvs.com/store-locator/ozark-al-pharmacies/176-andrews-ave-ozark-al-36360/storeid=4826
Alabama,Pell-City,https://www.cvs.com/store-locator/pell-city-al-pharmacies/118-comer-avenue-pell-city-al-35125/storeid=4839
Alabama,Phenix-City,https://www.cvs.com/store-locator/phenix-city-al-pharmacies/2514-crawford-road-phenix-city-al-36867/storeid=4934
Alabama,Phenix-City,https://www.cvs.com/store-locator/phenix-city-al-pharmacies/5405-summerville-rd-phenix-city-al-36867/storeid=1824
Alabama,Piedmont,https://www.cvs.com/store-locator/piedmont-al-pharmacies/145-u-s-hwy-278-byp-e-piedmont-al-36272/storeid=4956
Alabama,Pinson,https://www.cvs.com/store-locator/pinson-al-pharmacies/6665-hwy-75-pinson-al-35126/storeid=4926
Alabama,Oxford,https://www.cvs.com/store-locator/oxford-al-pharmacies/400-oxford-exchange-blvd-oxford-al-36203/storeid=17235
Alabama,Oxford,https://www.cvs.com/store-locator/oxford-al-pharmacies/825-quintard-dr-oxford-al-36203/storeid=10207
Alabama,Pelham,https://www.cvs.com/store-locator/pelham-al-pharmacies/100-huntley-pkwy-pelham-al-35124/storeid=4667
Alabama,Pelham,https://www.cvs.com/store-locator/pelham-al-pharmacies/2738-u-s-highway-31-south-pelham-al-35124/storeid=4814
Alabama,Pleasant-Grove,https://www.cvs.com/store-locator/pleasant-grove-al-pharmacies/108-park-rd-pleasant-grove-al-35127/storeid=4916
Alabama,Prattville,https://www.cvs.com/store-locator/prattville-al-pharmacies/1904-cobbs-ford-rd-prattville-al-36066/storeid=4944
Alabama,Prattville,https://www.cvs.com/store-locator/prattville-al-pharmacies/2754-legends-pkwy-prattville-al-36066/storeid=17348
Alabama,Prattville,https://www.cvs.com/store-locator/prattville-al-pharmacies/708-e-main-st-prattville-al-36067/storeid=4838
Alabama,Rainbow-City,https://www.cvs.com/store-locator/rainbow-city-al-pharmacies/3403-rainbow-dr-rainbow-city-al-35906/storeid=4823
